jerk_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_0,817,1.098848383130938,0.9703993908180127,0.04117817716332579,397555.3416571708,9734.073832793287,244.47334838847044,20.002939918758944,0.015760846706537955,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_0,1270,1.090673815030576,0.9578362064906103,0.06339294568044943,180151.03164549835,525.9525123378789,25.11335158111522,4.821003746946253,0.014069175604297997,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_1,702,1.1204151607274049,0.9599372367654447,0.033096859281151504,50502.65826102256,517.3806025734904,52.44858857416699,8.214360145024632,0.07457582888035834,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_1,1333,1.0865440468217906,0.9599953556763813,0.08203261450035328,52215.30939323767,366.68511913539635,24.83601909152025,3.4672449001359342,0.025871591340589375,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_2,709,1.1203633280456395,0.9421966524846066,0.0557015638609071,7725.696321250492,215.0852820852328,50.24876402794643,11.1976256442974,0.20219055475338035,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_2,1266,1.0907908605848842,0.9479775667612618,0.05636993620780988,935364.1661097361,1125.2766360993041,24.003477960371594,3.3170217233442605,0.004069469458807626,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_3,853,1.096423610480842,0.9392642646988028,0.06327902686017223,146831.5745661254,827.3703142323777,40.432318734649634,8.1991991151192,0.018185790132578945,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_3,1320,1.086322270184237,0.9517646181791964,0.06289850011311554,7485.779244207524,96.30764601735099,19.420272385875325,2.9546141363089067,0.10679688743654049,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_4,773,1.1091294442919983,0.9642151672559791,0.04053360486693704,112505005.87953404,23849.18673125479,59.31611410159877,4.894363937951082,3.358799130139578e-05,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_4,1285,1.088549737875304,0.9540669035635052,0.07179280008445028,182916.86478980558,732.9189975857784,31.107530335311665,4.034190811953149,0.009413874271179616,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_5,859,1.0962978341933842,0.9478861611732148,0.04940317971743494,2929664.4566432787,3275.8088857501084,42.6876047019028,4.733923907264332,0.0013209799804880411,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_5,1297,1.087267374828877,0.9505920196856733,0.05652186054226338,190743.9045020046,848.7145369544465,24.909741434701218,3.0117011912353604,0.012209350235178305,8.120676155485603e-10
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_0,1976,1.1924318924647042,0.986200062546549,0.019193162323162677,240811.6949330732,2184.169797716137,146.41501267251112,21.948311488544725,0.03374989912326008,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_0,1257,1.0417459760772478,0.9934683706131537,0.01802533834299065,1034.090945324646,83.29972790494718,24.61095793114681,3.3697504788833657,0.23297441860756957,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_0,2745,1.163389687407169,0.9944959760410287,0.017588419723779974,1954633.2020556116,2809.18232646262,85.31891679943406,27.10512741229845,0.01761928725104187,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_0,681,1.0434291626958394,0.9258205398975305,0.07467776719540731,5669.090654392262,38.59720237542149,9.868604182514874,0.9991952211643276,0.06138798473426456,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_1,2032,1.18607065311847,0.9989970414600045,0.02612105415002316,11865219.947682202,9708.281948046048,110.66307379829414,11.639053041675854,0.001894407570551189,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_1,1236,1.0421526434890436,0.9896638012925421,0.021972043337679874,4536.6660917671725,75.1851527810566,22.008979961173626,4.203663730208549,0.23601890390845995,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_1,2925,1.1515806544825775,0.9975448999912275,0.017029843354739588,19868691.459326483,8403.057714846273,92.26541884530403,31.508918380852666,0.003609987380954764,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_1,640,1.0474594139929772,0.9271520992138511,0.06463661490948798,348.77132819135767,25.121694776849775,8.760038347104409,0.48639771896957185,0.07878741006137607,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_2,1749,1.2237778381016993,0.9871036262267631,0.015043579365180918,26775791366.949642,538201.0221661977,136.77572711076704,41.85453094375747,2.7333722572254624e-06,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_2,1290,1.0406209181335506,0.9928261488319278,0.03731205112142282,50051576.64176795,9733.183878833064,19.061852915569965,3.9545718237200287,0.0001012887594714938,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_2,2622,1.1715913850747546,0.995985649197777,0.01989489508512643,123989751.7557672,48162.89455826469,86.95771774612912,32.91577077895457,0.0006596732562081931,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_2,620,1.0473522634796832,0.917690196570873,0.07896061101279642,2579.7672473182533,67.5757046084086,24.323913781349223,0.9810020598408187,0.08126035053198424,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_3,1937,1.1965186374991097,0.9871808062998835,0.024557883244938898,3623459.7903214106,7910.223446757662,117.14332301400877,22.16235650233283,0.006673356072750731,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_3,1403,1.0364829551693713,0.9954817042194246,0.0598383384834845,5219.884715031207,124.01802610321015,32.42889174948363,6.821326726717819,0.2358881252535967,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_3,2456,1.18540429586999,0.9963241419622592,0.02101795459927311,3586199.2393620256,5841.7751114048115,82.86035424341469,36.28716928255611,0.018074613308888453,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_3,648,1.0461283993757509,0.9351360110491609,0.06417141490468298,4429.648790760971,54.74056775033129,21.1780179950736,0.7347669297799989,0.04746517822920088,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_4,2006,1.1885208914580028,0.9820403809152345,0.03125304865075007,5392991.314522803,6007.989752467843,116.08298393044156,15.510776263489253,0.002690093664377528,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_4,1310,1.039620183988995,0.9856522397300649,0.040870305267711717,91368.15562225401,824.5355466547123,31.949476903803763,3.7346334518778797,0.029957044182764805,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_4,2847,1.156450980254712,0.9960013115682267,0.01865994663757539,2806564.302008039,3878.771168186626,99.61084930284935,43.62782975027236,0.013717597151633808,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_4,654,1.0465069517457688,0.9285462791353418,0.07406069811001177,270826.34213396447,271.59205123388983,41.27078030945111,0.8101894251814767,0.0017493575239059234,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_5,1921,1.1980761773432484,0.994912413977119,0.02323164437021143,11654351.967647422,14955.100467027029,441.79175302449846,29.4019817736576,0.0033536909209073646,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_5,1286,1.0397289596227934,0.9896033325284724,0.02769085650117546,4105.1289963255185,100.32959198311717,25.117840297141186,3.8039232205313205,0.20921859004387355,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_5,2555,1.1776030852712926,0.9968148117123093,0.014403028085332246,7728279.0449672695,7791.741503526292,79.9606456936864,28.944200555698043,0.004023491140974482,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_5,647,1.0451589920032545,0.9328751574247046,0.06540370915879391,631.9997036532559,39.36771438469068,14.067127192054278,0.8077041868673431,0.12919031294521752,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_6,2002,1.1899229005519512,0.9836786930517113,0.01672354568921202,3125273522.88281,4889390.011830561,7673.47430644889,18.6308914699446,1.1867297484899436e-05,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_6,1482,1.034046591113879,0.994364977740558,0.031443888127733174,4594388.689435956,36751.71805474393,296.617611041459,8.607087295497024,0.0016856971145864034,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_6,2855,1.1552854821524332,0.9947379065810062,0.019620257713564484,21004321.525336374,8538.225218786562,84.42535788579058,39.22486937616753,0.0030759362161611355,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_6,625,1.048819175857893,0.9262148408091025,0.07213880787314929,292414404928.51874,45455501.49140992,7068.205177581032,1.1183778925171455,2.3878521075784605e-09,1.0612213331756848e-09
10,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/walk_to_caltrain_0,1115,1.0798996314206475,0.9441449109030373,0.052138187186636584,58557.18561381955,179.01466006526948,13.793287825654017,0.9855427093013085,0.012767531112385905,7.066114844795951e-10
10,train_bus_ebike_mtv_ucb,mtv_to_berkeley_sf_bart/commuter_rail_aboveground_0,2927,1.1699103468304564,0.9931648677177,0.025354452457358637,15352340032.318378,1000829.4131458853,8411.259162930954,48.426066182617966,6.067426661119456e-06,7.225986198398043e-10
