time_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_0,817,1.098848383130938,0.9197418228464354,0.04354886132823117,inf,inf,inf,24.540173992571255,0.0,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_0,1270,1.090673815030576,0.9479710712919585,0.0635935772539801,2143.263614615928,214.35942802174938,23.821847009575734,7.354385659386272,0.17212747233919704,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_1,702,1.1204151607274049,0.9731451352090905,0.03275960017134231,1419.5924264146743,236.59855337117972,41.60406013938996,14.988685831389688,0.2583335782815204,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_1,1333,1.0865440468217906,0.9513627555399236,0.08203261450035328,1437.1667427686352,143.71342548281393,24.83603093451114,7.38260203283916,0.20500260044086893,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_2,709,1.1203633280456395,0.9426534217583572,0.056158333134657595,2923.8928773931175,243.94864451296357,47.49888469242867,21.5585837663044,0.21445194123647937,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_2,1266,1.0907908605848842,0.932630114356307,0.05636993620780988,1771.9684913178894,159.54298347258506,20.99881694589225,6.63334382056724,0.19908169626285402,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_3,853,1.096423610480842,0.9395717252729129,0.0635864874342824,1603.6976392186393,194.8558011688871,36.54729224629635,17.533738170025178,0.23202571861082902,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_3,1320,1.086322270184237,0.9612143718385278,0.06289308584813252,1097.934756161777,118.83371273927025,19.38380349271459,3.765432586159859,0.12537989260232316,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_4,773,1.1091294442919983,0.9681066210688586,0.04053360486693704,1668.26266451166,205.45824706222038,34.33496700881488,10.403574651723119,0.19743157549836837,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_4,1285,1.088549737875304,0.9319682217418871,0.0715809848371564,7316.803605217262,481.03359512098257,42.64437249992676,7.510479601347555,0.10599148098135816,8.120676155485603e-10
10,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_5,859,1.0962978341933842,0.9682392213642226,0.04901716552205319,2413.1084060739804,186.59771710656804,37.69684731418145,13.06591060978853,0.16327080061845645,4.738408267387402e-10
10,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_5,1297,1.087267374828877,0.9511532922189674,0.05629829668993864,3316.9961452850075,215.71549787742745,28.413521720053634,6.976534378556153,0.14690802901987732,8.120676155485603e-10
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_0,1976,1.1924318924647042,1.0052359993449436,0.01877395799394535,6589.889193097179,686.7507054321063,107.77488888505421,51.06082993445105,0.1800795358850345,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_0,1257,1.0417459760772478,1.017294321262904,0.01988990540372805,638.8021085327698,103.03218575796761,20.606475972521316,3.713568272748919,0.1875963383244719,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_0,2745,1.163389687407169,1.0062042745696402,0.025280945342363248,inf,inf,inf,48.30150627107783,0.0,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_0,681,1.0434291626958394,0.9249390257352134,0.07470599177756035,inf,inf,inf,0.7850672309001082,0.0,1.0612213331756848e-09
10,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_1,2032,1.18607065311847,0.9952030663399212,0.02626011114855976,4660.6675261050195,459.7962031601606,78.58750656242675,38.365608680938806,0.18895409883451225,6.829429384774533e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_1,1236,1.0421526434890436,0.9612062187316411,0.02023597365998143,303.87173479127557,47.73831862933127,15.912925737171914,6.692254212392596,0.3767691639297632,6.416257647001624e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/city_bus_rapid_transit_1,2925,1.1515806544825775,1.038212875075167,0.017285709372657467,inf,inf,inf,49.454941174241526,0.0,6.217521112241125e-10
10,car_scooter_brex_san_jose,bus trip with e-scooter access/walk_back_from_bus_1,640,1.0474594139929772,0.921423695894837,0.06463661490948798,inf,inf,inf,0.4363471516656683,0.0,1.0612213331756848e-09
