speed_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_0,817,1.098848383130938,0.9700915603065949,0.037970841603085406,1119740145.2349873,565703.3029303766,1634.3047158073439,27.607674772021472,8.317840288232537e-06,4.738408267387402e-10
40,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_0,1270,1.090673815030576,0.9580621052560497,0.0635935772539801,121758679.56518167,67226.7337772309,457.41750016937294,9.512035906370585,6.264186114756584e-05,8.120676155485603e-10
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_1,702,1.1204151607274049,0.9599372367654447,0.033096859281151504,138209884.1805783,174499.23044177843,1267.3880497002156,21.520300636010024,4.1409885941186274e-05,4.738408267387402e-10
40,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_1,1333,1.0865440468217906,0.9603284119928406,0.08203261450035328,1567907338.242376,183031.78728334059,273.13074728667056,7.690555659170312,6.378883713572937e-06,8.120676155485603e-10
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_2,709,1.1203633280456395,0.9426534217583572,0.056158333134657595,107268021676.16371,8081616.220231289,1542.1355858524587,35.144262179388186,2.2622523616225637e-07,4.738408267387402e-10
40,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_2,1266,1.0907908605848842,0.9490072783690476,0.05636993620780988,82657963.94858654,86112.1566023061,266.2690382334991,7.7731382957884545,6.740683960896854e-05,8.120676155485603e-10
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_3,853,1.096423610480842,0.9395717252729129,0.0635864874342824,346561886.7198311,165650.13987848556,1108.99470483696,41.64981286121651,5.7610854977530945e-05,4.738408267387402e-10
40,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_3,1320,1.086322270184237,0.9517646181791964,0.06289308584813252,3985306.6679644776,19165.43636613541,214.31482730716326,5.8469559334224845,0.0004149575262074337,8.120676155485603e-10
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_4,773,1.1091294442919983,0.9641608177418172,0.04053360486693704,467353580253.9678,6173597.363247915,744.921476612451,12.781965321335248,2.1132321755332062e-08,4.738408267387402e-10
40,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_4,1285,1.088549737875304,0.9544168011452638,0.07158101997980529,1613644365.770075,333141.2756854585,618.2426850309922,9.41003683030274,3.830438099064714e-06,8.120676155485603e-10
40,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_5,859,1.0962978341933842,0.947500146977833,0.04901716552205319,82377160.263422,211791.66753378703,1190.6332135866214,17.4226457618778,3.6158316802195854e-05,4.738408267387402e-10
