acceleration_threshold,timeline,sec_name,n_points,coverage_density,coverage_time,coverage_max_gap,max_jerk,max_acceleration,max_speed,median_jerk,mean_median_jerk_ratio,gt_error
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_0,817,1.098848383130938,0.9700915603065949,0.03764115242725517,97187.80537371399,3784.3381594924044,153.5789254909089,18.80770711442616,0.04035225235830324,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_0,1270,1.090673815030576,0.9580621052560497,0.0635935772539801,180151.03164549835,497.33244214272764,33.706908746727294,7.098046323624191,0.021908068438475103,8.120676155485603e-10
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_1,702,1.1204151607274049,0.9599372367654447,0.033096859281151504,7001.777492151997,278.4336145564406,52.44858857416699,9.456650075776839,0.14904632140307172,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_1,1333,1.0865440468217906,0.9603284119928406,0.08189507969571644,2751936.2358124657,2636.1701590746507,24.83601909152025,5.961783672691251,0.0026972179936337144,8.120676155485603e-10
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_2,709,1.1203633280456395,0.9426534217583572,0.056158333134657595,4835962.823125436,7157.373981900491,50.24876402794643,19.861686938968997,0.002829682150335938,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_2,1266,1.0907908605848842,0.9490072783690476,0.05636993620780988,935364.1661097361,1125.2766360993041,24.003477960371594,3.9483355107094535,0.004745261414655996,8.120676155485603e-10
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_3,853,1.096423610480842,0.9395717252729129,0.0635864874342824,120599.38472166196,452.5410345645085,42.274888002134745,14.952822599843373,0.04138101717761354,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_3,1320,1.086322270184237,0.9517646181791964,0.06289308584813252,7485.779244207524,96.43728577282236,19.420272385875325,3.2172465671353843,0.10172178809556204,8.120676155485603e-10
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_4,773,1.1091294442919983,0.9641608177418172,0.04053360486693704,112505005.87953404,23849.18673125479,36.92566924550403,6.1869965867623,4.245747306446633e-05,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_4,1285,1.088549737875304,0.9544168011452638,0.07158101997980529,320882.0952583569,1129.6139121631215,36.089126780755414,7.490348491823741,0.011438937258711021,8.120676155485603e-10
50,unimodal_trip_car_bike_mtv_la,suburb_city_driving_weekend/suburb_city_driving_weekend_5,859,1.0962978341933842,0.9476354003899257,0.04915241893414579,12071.540221356167,272.20732387634655,46.54469041512535,8.78889539988317,0.07477992293996064,4.738408267387402e-10
50,unimodal_trip_car_bike_mtv_la,suburb_bicycling/suburb_bicycling_5,1297,1.087267374828877,0.9511532922189674,0.05629829668993864,190743.9045020046,848.7145369544465,24.909741434701218,4.539893033560466,0.0185361127511006,8.120676155485603e-10
50,car_scooter_brex_san_jose,freeway_driving_weekday/freeway_driving_weekday_0,1976,1.1924318924647042,0.986200062546549,0.019042297964298214,3001622.7312253374,3986.3145315164206,146.41501267251112,41.256586736393814,0.014006773482373173,6.829429384774533e-10
50,car_scooter_brex_san_jose,bus trip with e-scooter access/city_escooter_0,1257,1.0417459760772478,0.9934683706131537,0.01802533834299065,1034.090945324646,84.270350629264,32.18399538053199,3.8003490329772696,0.2182296417439569,6.416257647001624e-10
